dataset,reported_ub,found_ub,lb,gap,gap_reported_ub_lb,iterations,time_sec,feasible,stop_reason
1,33314,32329,31547,2.48,5.60,1543,77.18,True,"Step size multiplier too small, stopping optimization"
2,33958,32166,31597,1.80,7.47,1590,75.39,True,"Step size multiplier too small, stopping optimization"
3,35350,34298,32965,4.04,7.23,1615,80.13,True,"Step size multiplier too small, stopping optimization"
4,35612,33507,32402,3.41,9.91,1594,76.28,True,"Step size multiplier too small, stopping optimization"
5,33309,31775,31027,2.41,7.35,1605,78.01,True,"Step size multiplier too small, stopping optimization"
6,27393,25344,25221,0.49,8.61,1702,86.73,True,"Step size multiplier too small, stopping optimization"
7,27846,27839,25192,10.51,10.54,1684,83.31,True,"Step size multiplier too small, stopping optimization"
8,29352,27019,26100,3.52,12.46,1636,77.60,True,"Step size multiplier too small, stopping optimization"
9,27150,25714,25074,2.55,8.28,1644,77.25,True,"Step size multiplier too small, stopping optimization"
10,26170,25033,25067,-0.14,4.40,1541,66.08,True,"Step size multiplier too small, stopping optimization"
11,26581,24519,23241,5.50,14.37,1598,79.07,True,"Step size multiplier too small, stopping optimization"
12,23498,23410,22757,2.87,3.26,1550,73.65,True,"Step size multiplier too small, stopping optimization"
13,26260,25551,24206,5.56,8.49,1614,78.97,True,"Step size multiplier too small, stopping optimization"
14,25262,23840,23200,2.76,8.89,1741,87.58,True,"Step size multiplier too small, stopping optimization"
15,25730,24351,23516,3.55,9.41,1824,88.08,True,"Step size multiplier too small, stopping optimization"
16,39909,37651,36476,3.22,9.41,1541,94.74,True,"Step size multiplier too small, stopping optimization"
17,36770,34701,34150,1.61,7.67,1548,82.24,True,"Step size multiplier too small, stopping optimization"
18,37203,34888,34106,2.29,9.08,1548,83.63,True,"Step size multiplier too small, stopping optimization"
19,34278,32620,31779,2.65,7.86,1718,97.17,True,"Step size multiplier too small, stopping optimization"
20,35570,34404,33748,1.94,5.40,1705,96.10,True,"Step size multiplier too small, stopping optimization"
21,27408,26514,25981,2.05,5.49,1586,85.18,True,"Step size multiplier too small, stopping optimization"
22,27412,25546,25129,1.66,9.09,1523,76.75,True,"Step size multiplier too small, stopping optimization"
23,26928,26087,25475,2.40,5.70,1643,81.66,True,"Step size multiplier too small, stopping optimization"
24,25664,24684,23911,3.23,7.33,1609,81.94,True,"Step size multiplier too small, stopping optimization"
25,28024,27158,25065,8.35,11.81,1580,82.40,True,"Step size multiplier too small, stopping optimization"
26,24827,22756,22388,1.64,10.89,1641,84.46,True,"Step size multiplier too small, stopping optimization"
27,24001,23615,21958,7.55,9.30,1705,83.75,True,"Step size multiplier too small, stopping optimization"
28,24119,23254,22447,3.60,7.45,1627,78.64,True,"Step size multiplier too small, stopping optimization"
29,22077,21327,21236,0.43,3.96,1540,78.23,True,"Step size multiplier too small, stopping optimization"
30,25123,22758,21913,3.86,14.65,1645,82.39,True,"Step size multiplier too small, stopping optimization"
31,38344,36646,35707,2.63,7.39,1590,106.86,True,"Step size multiplier too small, stopping optimization"
32,38386,37225,36299,2.55,5.75,1513,102.31,True,"Step size multiplier too small, stopping optimization"
33,37568,36044,35430,1.73,6.03,1558,100.18,True,"Step size multiplier too small, stopping optimization"
34,34604,33355,32703,1.99,5.81,1560,100.88,True,"Step size multiplier too small, stopping optimization"
35,38515,36523,36031,1.37,6.89,1632,103.88,True,"Step size multiplier too small, stopping optimization"
36,27822,27325,27015,1.15,2.99,1824,108.13,True,"Step size multiplier too small, stopping optimization"
37,30492,27684,27244,1.62,11.92,1796,110.33,True,"Step size multiplier too small, stopping optimization"
38,29941,27665,27079,2.16,10.57,1572,94.45,True,"Step size multiplier too small, stopping optimization"
39,27829,25525,25217,1.22,10.36,1621,92.63,True,"Step size multiplier too small, stopping optimization"
40,28407,27638,27250,1.42,4.25,1592,93.38,True,"Step size multiplier too small, stopping optimization"
41,25361,24678,24328,1.44,4.25,1646,97.46,True,"Step size multiplier too small, stopping optimization"
42,25663,24211,24250,-0.16,5.83,1524,78.61,True,"Step size multiplier too small, stopping optimization"
43,26484,24270,24176,0.39,9.55,1682,97.98,True,"Step size multiplier too small, stopping optimization"
44,24639,24000,23473,2.25,4.97,1596,95.41,True,"Step size multiplier too small, stopping optimization"
45,26954,26155,24578,6.42,9.67,1721,105.12,True,"Step size multiplier too small, stopping optimization"
